_id,Name_of_Product,Quantity,Drug_or_Content,How_to_Use,Special_Features,Diseases_Used_For,photo_link,Category_sub,category
69e5be12fff6d1ffa10a0428,AHC-5,Not specified,Levocetirizine 5 mg,Not specified,"It is a safe and fast-acting antihistamine that does not cause sedation or interfere with memory. It acts as a long-acting, peripheral H1 receptor antagonist with reduced potential for adverse CNS effects.","Allergic rhinitis, chronic idiopathic urticaria, atopic eczema, contact dermatitis, and allergic reactions due to drugs and food.",https://res.cloudinary.com/dpsq08nun/image/upload/v1777359495/IMG-20260407-WA0000_eyvt70.jpg,Tablets,Anti Histamine Range
69e5be12fff6d1ffa10a0429,ACNEMIDE-GEL,20 gm,Clindamycin 1% w/w & Nicotinamide 4% w/w,Topical treatment,Clindamycin is a semi-synthetic antibiotic effective against propionibacterium acne. Nicotinamide provides anti-inflammatory activity and reduces the number and severity of acne lesions.,"Acne, pimples, bacterial skin infections, and moderate to severe facial acne vulgaris.",https://res.cloudinary.com/dpsq08nun/image/upload/v1777359495/IMG-20260407-WA0000_eyvt70.jpg,Gel,Anti Acne Range
69e5be12fff6d1ffa10a042a,Silkmoist,50 gm,Paraben and Mineral Oil free,Can be used as a makeup base or primer.,It acts as a 72-hour moisturizer that maintains moisture and balances the skin. It is a good moisturizer substitute for oily skin types.,Cures rash and irritation caused by insect or mosquito bites.,https://res.cloudinary.com/dpsq08nun/image/upload/v1777359495/IMG-20260407-WA0000_eyvt70.jpg,Moisturizer,Moisturizers
69e5be12fff6d1ffa10a042b,Puremoist,75 gm,White soft paraffin 13.2% w/w + Light liquid paraffin 10.2% w/w,Daily use,"Acts as a barrier cream and skin lubricant (emollient) to prevent water evaporation, keeping skin soft, smooth, and hydrated. It protects the skin from environmental and oxidative damage.","Senile pruritus, rough skin, dry skin (xerosis), atopic dermatitis, and general skin health maintenance.",https://res.cloudinary.com/dpsq08nun/image/upload/v1777359495/IMG-20260407-WA0000_eyvt70.jpg,Cream,Moisturizers
69e5be12fff6d1ffa10a042c,TOPECIA FORTE,100 ml,"Red Onion Extract, Amla Extract, Brahmi Extract, Coconut Oil, Argan Oil, Bhringraj Oil, Rosemary Extract, Hibiscus Extract, Methi Extract, Kapur Kachri Extract, Sunflower Oil, Soya Bean Oil, Castor Oil, Olive Oil, Jojoba Extract, Lavender Extract",Not specified,"Checks hair fall, nourishes follicles, adds volume, stops breakage, and accelerates hair growth. It promotes a clean, healthy scalp and strengthens follicle roots.","Damaged and dry hair, hair breakage, hair fall.",https://res.cloudinary.com/dpsq08nun/image/upload/v1777359495/IMG-20260407-WA0000_eyvt70.jpg,Hair Oil,Hair Care Range
69e5be12fff6d1ffa10a042d,Elitraz-200,Not specified,Itraconazole 200 mg,ABPA: 100 mg twice daily followed by once daily for 3-6 months. Blastomycosis/Histoplasmosis: 200 mg once daily for 6-8 months. Life-threatening situations: 200 mg three times daily for the first 3 days. Allergic fungal rhinosinusitis: 100 mg bid.,"Highly effective in pulmonary fungal infections with high clinical cure rates (e.g., Histoplasmosis 95%).","Pulmonary fungal infections, Allergic Fungal Sinusitis, Histoplasmosis, Blastomycosis, Candidiasis, Mycosis, Cryptococcosis, Sporotrichosis, and Tinea Infections.",https://res.cloudinary.com/dpsq08nun/image/upload/v1777359495/IMG-20260407-WA0000_eyvt70.jpg,Capsules,Anti Fungal Range
69e5be12fff6d1ffa10a042e,Sporocid-250,Not specified,Terbinafine 250mg,"250mg once daily. Treatment duration varies from 2-6 weeks for Tinea pedis, to 12 weeks for toenail Onychomycosis.","An orally and topically active antimycotic agent with excellent fungicidal activity against dermatophytes, yeasts, and molds.","Fungal infections, dermatophyte onychomycosis, Tinea pedis, Tinea corporis, and Tinea cruris.",https://res.cloudinary.com/dpsq08nun/image/upload/v1777359495/IMG-20260407-WA0000_eyvt70.jpg,Tablets,Anti Fungal Range
69e5be12fff6d1ffa10a042f,Elizit-5,Not specified,Desloratadine 5 mg,Not specified,"It is a long-acting, non-sedating tricyclic histamine antagonist that blocks histamine. It alleviates nasal and non-nasal symptoms and reduces the size and number of hives.","Allergic rhinitis, contact dermatitis, idiopathic chronic urticaria, and general allergic reactions.",https://res.cloudinary.com/dpsq08nun/image/upload/v1777359495/IMG-20260407-WA0000_eyvt70.jpg,Tablets,Anti Histamine Range
69e5be12fff6d1ffa10a0430,Kojisis Ultra,20 gm,"Kojic Acid Dipalmitate 2%, Alpha Arbutin 2%, Licorice Extract 1%, Chamomile Extract, Vitamin E",Not specified,Fast-acting with a potent tyrosinase inhibition effect that is stronger than Hydroquinone without its pronounced side effects. It provides a 60% reduction in MASI score and significant skin lightening within 4 weeks.,"Management of moderate to severe melasma, hyperpigmentation, and pre/post-chemical peeling.",https://res.cloudinary.com/dpsq08nun/image/upload/v1777359495/IMG-20260407-WA0000_eyvt70.jpg,Cream,Face Care Range
69e5be12fff6d1ffa10a0431,Oxisis,30 gm,Oxiconazole Nitrate Cream 1.0% w/w,Not specified,Antifungal medication that aggressively fights fungus and yeast overgrowths.,"Athlete's foot, jock itch, ringworm, Pityriasis versicolor, Tinea, Onychomycosis, and fungal skin infections.",https://res.cloudinary.com/dpsq08nun/image/upload/v1777359495/IMG-20260407-WA0000_eyvt70.jpg,Cream,Anti Fungal Range
69e5be12fff6d1ffa10a0432,Ketosis,Not specified,Ketoconazole 2%,"Apply to dry and affected areas of the scalp, keep overnight, and wash thoroughly the next morning.","Mainstay treatment for fungal conditions. Very effective against itching, dandruff, and dermatitis.","Tinea, Pruritus, Dandruff, Deep mycoses, Seborrheic dermatitis, recalcitrant dermatophytoses, Pityriasis versicolor, Athlete's foot, Ringworm, oral/esophageal candidiasis, and Jock itch.",https://res.cloudinary.com/dpsq08nun/image/upload/v1777359495/IMG-20260407-WA0000_eyvt70.jpg,Lotion,Anti Fungal Range
69e5be12fff6d1ffa10a0433,Cortivate-G,50 gm,"Betamethasone Dipropionate 0.05% w/w, Gentamycin 0.1% w/w & Zinc Sulphate 2.5% w/w","Topical application for skin, or used via rectal suppositories for hemorrhoids.",Betamethasone is a high-potency corticosteroid for swelling and redness; Gentamycin is an antibiotic stopping bacterial growth; Zinc Sulphate treats minor burns and skin irritation.,"Psoriasis, eczema, dermatitis, allergies, impetigo, folliculitis, minor cuts/burns, diaper rash, and hemorrhoids.",https://res.cloudinary.com/dpsq08nun/image/upload/v1777359495/IMG-20260407-WA0000_eyvt70.jpg,Cream,Dermatitis Range
69e5be12fff6d1ffa10a0434,Acnemide,60 gm,"Glycolic Acid 2%, Salicylic Acid 1%, Aloe Vera, Vitamin E",Not specified,"Exfoliates dead skin cells, breaks down blackheads/whiteheads, heals and softens skin, and acts as a moisturizer protecting against aging.","Acne, pimples, blackheads, pigment spots, rough skin, sun spots, sunburns, and minor burns.",https://res.cloudinary.com/dpsq08nun/image/upload/v1777359495/IMG-20260407-WA0000_eyvt70.jpg,Facewash,Anti Acne Range
69e5be12fff6d1ffa10a0435,ZITVEL,60GM,"Sodium ascorbyl phosphate 3%, Hyaluronic acid 1% & Mandelic acid 1%",Not specified,"Paraben and sulphate-free formula. It brightens skin tone, provides antioxidant protection, infuses moisture to prevent stripping, and gently exfoliates to smooth rough texture.","Acne and blemishes, dullness, uneven skin tone, dark spots, clogged pores, and rough texture.",https://res.cloudinary.com/dpsq08nun/image/upload/v1777359495/IMG-20260407-WA0000_eyvt70.jpg,Facewash,VELRUTIN LIFE SCIENCESA
69e5be12fff6d1ffa10a0436,UV MATT,30GM / 60GM,"Encapsulated Vitamin-C, Avobenzone, Alpha Arbutin, SymRadiance 399",Not specified,"Offers blue light protection and SPF 50++++ broad-spectrum UVA/UVB coverage. It is non-oily, 100% water-resistant, paraben-free, and has a smooth matte silicone texture.","Sun protection, hyperpigmentation, dark spots, and aging rays.",https://res.cloudinary.com/dpsq08nun/image/upload/v1777359495/IMG-20260407-WA0000_eyvt70.jpg,Matte Finish Gel Sunscreen,Face Care Range
69e5be12fff6d1ffa10a0437,VELOSMA,30GM,"Retinol 0.6%, Bakuchiol 1% & Niacinamide 3%",Not specified,"Enriched with German ingredients. Promotes cell turnover, stimulates collagen, improves elasticity, and strengthens the skin barrier.","Fine lines, wrinkles, dark spots, acne, hyperpigmentation, enlarged pores, and uneven skin tone.",https://res.cloudinary.com/dpsq08nun/image/upload/v1777359495/IMG-20260407-WA0000_eyvt70.jpg,Cream,VELRUTIN LIFE SCIENCESA
69e5be12fff6d1ffa10a0438,PUREMOIST,200ML,Not specified,"Apply on wet skin, massage gently to form a rich lather, leave it for some time, and rinse off with water.","Removes excess oil, impurities, and dead skin cells. Maintains the pH of the skin and provides maximum hydration.","Dry skin, superficial scaling, and roughness.",https://res.cloudinary.com/dpsq08nun/image/upload/v1777359495/IMG-20260407-WA0000_eyvt70.jpg,Body Wash / Moisturizing Lotion,Moisturizers
69e5be12fff6d1ffa10a0439,VELOSMA-AZ,30 GM,"Azelaic Acid Liposomes, 4-N-Butylresorcinol, Ceramide Complex, Hyaluronic Acid",Not specified,"Utilizes liposomal technology to increase penetration. It is completely free of parabens, steroids, and fragrances.","Acne, uneven skin tone, PIH (Post-inflammatory Hyperpigmentation), acne-induced erythema, and hyperpigmentation.",https://res.cloudinary.com/dpsq08nun/image/upload/v1777359495/IMG-20260407-WA0000_eyvt70.jpg,Cream,VELRUTIN LIFE SCIENCESA
69e5be12fff6d1ffa10a043a,TREXODERM,30ML,"Tranexamic acid 10%, Niacinamide 5% & Hyaluronic acid 2%",Not specified,"Brightens skin, maintains the skin barrier, reduces UV damage, and intensely hydrates.","Dark spots, melasma, post-inflammatory hyperpigmentation, skin sensitivity, and signs of aging.",https://res.cloudinary.com/dpsq08nun/image/upload/v1777359495/IMG-20260407-WA0000_eyvt70.jpg,Face Serum,Face Care Range
69e5be12fff6d1ffa10a043b,KOJISIS-H,30 gm,"Kojic Acid, Hydroquinone",Not specified,Formulated as an advanced skin whitening and anti-pigmentation formula.,"Hyperpigmentation, melasma, dark spots, and uneven complexion.",https://res.cloudinary.com/dpsq08nun/image/upload/v1777359495/IMG-20260407-WA0000_eyvt70.jpg,Cream,Face Care Range
69e5be12fff6d1ffa10a043c,ZITVEL-OC,60GM,"BHA, Tea Tree Oil, Hyaluronic Acid, Pentavitin",Not specified,"Paraben-free. BHA penetrates pores to remove excess oil, Tea Tree Oil acts as an antibacterial, and Pentavitin gives long-lasting hydration without making skin oily.","Acne, pimples, and excess oil/sebum.",https://res.cloudinary.com/dpsq08nun/image/upload/v1777359495/IMG-20260407-WA0000_eyvt70.jpg,Sebum Regulating Moisturizer,VELRUTIN LIFE SCIENCESA
69e5be12fff6d1ffa10a043d,Glutamic,60 ml,Glutathione 2% + Vitamin C 2% + Hyaluronic Acid 1%,Not specified,"Paraben-free. Lightens dark spots, hydrates skin, and helps repair damaged skin cells for a radiant complexion.","Discoloration, pigmentation, and uneven skin tone.",https://res.cloudinary.com/dpsq08nun/image/upload/v1777359495/IMG-20260407-WA0000_eyvt70.jpg,Face Wash,Face Care Range
69e5be12fff6d1ffa10a043e,AEL MOIST-C,20 / 50 gm,Cetyl alcohol 2% + hyaluronic acid 1%,Not specified,"Paraben and Mineral oil-free. Provides a 24-hour long-lasting moisturizing effect that soothes, heals, and moisturizes.","Dry, scaly & distressed skin, cutaneous drying up, deficiency of sebaceous secretion, disorders of keratinization, and senile skin.",https://res.cloudinary.com/dpsq08nun/image/upload/v1777359495/IMG-20260407-WA0000_eyvt70.jpg,Intense Moisturizer Cream,Moisturizers
69e5be12fff6d1ffa10a043f,EDGEGLY 6%,30 gm,Glycolic Acid 6%,"Apply on the elbows, underarms, knees, face, neck, and back.","Provides gentle exfoliation, brightens skin, offers anti-aging support by boosting cell renewal, and improves product absorption.","Dark spots, age spots, acne spots, hyperpigmentation, clogged pores, and discoloration of the skin.",https://res.cloudinary.com/dpsq08nun/image/upload/v1777359495/IMG-20260407-WA0000_eyvt70.jpg,Cream,Miscellaneous Range
69e5be12fff6d1ffa10a0440,Candior-100,Not specified,Itraconazole 100mg,Not specified,"Achieves high and sustained levels in the skin, nails, and deep organs. Generally free of serious adverse effects.","Superficial and deep fungal infections, difficult-to-treat dermatophytoses, onychomycoses, Cryptococcosis, Candidiasis, and Sporotrichosis.",https://res.cloudinary.com/dpsq08nun/image/upload/v1777359495/IMG-20260407-WA0000_eyvt70.jpg,Capsules,Anti Fungal Range
69e5be12fff6d1ffa10a0441,SOLVATE-S,20 gm,Clobetasol Propionate 0.05% w/w + Salicylic Acid 6% w/w,Topical application.,Contains a super-high-potency corticosteroid (Clobetasol) combined with Salicylic Acid to lift and clear away skin flakes.,"Psoriasis (Pustular, Inverse, Vulgar, Guttate, Erythroderma), Eczema, dermatitis, allergies, and rash.",https://res.cloudinary.com/dpsq08nun/image/upload/v1777359495/IMG-20260407-WA0000_eyvt70.jpg,Ointment,Dermatitis Range
69e5be12fff6d1ffa10a0442,Isomic-10/20,Not specified,Isotretinoin 10/20 mg,Not specified,Considered the most clinically effective anti-acne therapy and a versatile method for acne treatment.,"Management of acne vulgaris, severe unresponsive acne without cysts, nodulocystic acne, and acne resistant to antibiotics.",https://res.cloudinary.com/dpsq08nun/image/upload/v1777359495/IMG-20260407-WA0000_eyvt70.jpg,Softgel Capsules,Anti Acne Range
69e5be12fff6d1ffa10a0443,Levior-10,Not specified,Levocetirizine 10 mg,Not specified,"Safe and fast-acting, long-acting peripheral H1 receptor antagonist that does not cause sedation or memory interference.","Allergic rhinitis, chronic idiopathic urticaria, atopic eczema, contact dermatitis, and allergic reactions to food and drugs.",https://res.cloudinary.com/dpsq08nun/image/upload/v1777359495/IMG-20260407-WA0000_eyvt70.jpg,Tablets,Anti Histamine Range
69e5be12fff6d1ffa10a0444,SEBOSIS-B,30 ml,Beclomethasone Dipropionate 0.025% w/v & Clotrimazole 1% w/v,Not specified,"Combines a potent anti-inflammatory steroid with a broad-spectrum, highly trusted antifungal agent.","Seborrheic dermatitis, eczema, psoriasis, contact dermatitis, and pruritus.",https://res.cloudinary.com/dpsq08nun/image/upload/v1777359495/IMG-20260407-WA0000_eyvt70.jpg,Lotion,Hair Care Range
69e5be12fff6d1ffa10a0445,SEBOSIS,Not specified,"Climbazole, Piroctone Olamine + Argan Oil, Conditioning base",Not specified,"Targets root causes of dandruff, strengthens roots, controls hair fungus without causing dryness, and nourishes hair.","Dandruff, fungal growth on the scalp, and dead skin cells.",https://res.cloudinary.com/dpsq08nun/image/upload/v1777359495/IMG-20260407-WA0000_eyvt70.jpg,Anti Dandruff Shampoo,Hair Care Range
69e5be12fff6d1ffa10a0446,UV-VEL,60 gm,Zinc oxide & Micronized ceramides complex,Not specified,"SPF 50 PA+++ that reflects and absorbs UVA/UVB rays. Provides prolonged protection, uniform spreadability, and is paraben-free.","Sunburn, skin darkening, photo-aging, solar urticaria, photoallergy, and xeroderma pigmentosum.",https://res.cloudinary.com/dpsq08nun/image/upload/v1777359495/IMG-20260407-WA0000_eyvt70.jpg,Sunscreen,VELRUTIN LIFE SCIENCESA
69e5be12fff6d1ffa10a0447,Velosma-T,30 gm,"Hydroquinone 2% w/w, Tretinoin 0.025% w/w & Allantoin 1% w/w",Not specified,Hydroquinone directly inhibits tyrosinase activity; Tretinoin increases cell turnover for pigment dispersion; Allantoin protects and moisturizes the skin to relieve irritation.,"Melasma management, hyperpigmentation, and post-acne pigmentary imperfections.",https://res.cloudinary.com/dpsq08nun/image/upload/v1777359495/IMG-20260407-WA0000_eyvt70.jpg,Gel,VELRUTIN LIFE SCIENCESA
69e5be12fff6d1ffa10a0448,WRINKDERM,30 ml,"Co-enzyme Q10 10%, Collagen 3%, Peptide 1%, Nano Kojic Acid 1%, Nano Retinol 0.5% & Hyaluronic Acid 2%",Not specified,"An anti-aging and revitalizing formula that provides rejuvenation and antioxidant support, promoting structural skin elasticity and cell turnover.","Aging signs, fine lines, wrinkles, elasticity loss, and hyperpigmentation.",https://res.cloudinary.com/dpsq08nun/image/upload/v1777359495/IMG-20260407-WA0000_eyvt70.jpg,Serum,Face Care Range
69e5be12fff6d1ffa10a0449,WRINKDERM-C,Not specified,Vitamin C 20% & Hyaluronic Acid,Not specified,"A potent antioxidant formula that ensures deep hydration, boosts collagen production, and repairs the skin barrier.","Hyperpigmentation, dark spots, fine lines, wrinkles, and anti-aging.",https://res.cloudinary.com/dpsq08nun/image/upload/v1777359495/IMG-20260407-WA0000_eyvt70.jpg,Face Serum,Face Care Range
69e5be12fff6d1ffa10a044a,EDGEGLO,Not specified,"Glutathione 500 mg, Alpha lipoic acid 100 mg, Pine bark extract 50 mg, Grape seed extract 50 mg, Co-enzyme Q-10 50 mg, Vitamin-C 40 mg & Astaxanthin 4 mg",Not specified,Uses OPITAC L-Glutathione (No. 1 in Japan). Acts as a powerful antioxidant that helps regulate melanin production.,"Skin lightening, melasma, hyperpigmentation, wrinkles, and age spots.",https://res.cloudinary.com/dpsq08nun/image/upload/v1777359495/IMG-20260407-WA0000_eyvt70.jpg,Tablets,Face Care Range
69e5be12fff6d1ffa10a044b,Kerapick,100/200 ml,"Keratin, Biotin & Soya Protein",Not specified,Provides stronger hair and extra nourishment. Boosts hair growth and promotes regeneration of hair follicles.,"Hair fall, dry hair, dull hair, damaged hair lines.",https://res.cloudinary.com/dpsq08nun/image/upload/v1777359495/IMG-20260407-WA0000_eyvt70.jpg,Shampoo with Conditioner,Hair Care Range
69e5be12fff6d1ffa10a044c,ATOSIS-G,20 gm,"Betamethasone Dipropionate 0.05% w/w, Gentamycin 0.1% w/w & Zinc Sulphate 0.5% w/w","Topical application on the skin, or used via rectal suppositories for hemorrhoids.","High-potency corticosteroid reduces swelling and itching, while Gentamycin treats bacterial infections.","Psoriasis, eczema, dermatitis, allergies, rash, impetigo, folliculitis, diaper rash, minor burns, and hemorrhoids.",https://res.cloudinary.com/dpsq08nun/image/upload/v1777359495/IMG-20260407-WA0000_eyvt70.jpg,Cream,Dermatitis Range
69e5be12fff6d1ffa10a044d,Trichoseed,Not specified,"Contains Biotin 10 mg, Saw Palmetto Extract 160 mg, Nettle Leaf Extract 50 mg, Beta-Sitosterol 50 mg, and other amino acids, vitamins, and minerals.",Not specified,"Scientifically formulated nutritional support that significantly increases hair growth, improves scalp coverage, and stops alopecia associated with biotin deficiency.","Alopecia, hair thinning, brittle and damaged hair, and hair fall due to nutritional deficiencies.",https://res.cloudinary.com/dpsq08nun/image/upload/v1777359495/IMG-20260407-WA0000_eyvt70.jpg,Tablets,Hair Care Range
69e5be12fff6d1ffa10a044e,TOPECIA,Not specified,REDENSYL 5% + ANAGAIN 3% + PROCAPIL 2% + UNITRIENOL T-27 1% + SYMHAIR FORCE 1%,Not specified,Advanced hair growth serum acting as a DHT blocker and stem cell activator. It normalizes sebum content and reduces hair loss.,"Hair fall, damaged hair, dry and oily scalp roughness.",https://res.cloudinary.com/dpsq08nun/image/upload/v1777359495/IMG-20260407-WA0000_eyvt70.jpg,Hair Serum,Hair Care Range
